cc,region,name,domain,type,category,language,comment
DZ,Alger,El Khabar Er Riadhi,sport.elkhabar.com,NP,SP,ARA,
DZ,Alger,El Massa,www.el-massa.com,NP,GI,ARA,
DZ,Alger,El Massar El Arabi,elmassar-ar.com,NP,GI,ARA,
DZ,Alger,El Moudjahid,www.elmoudjahid.com,NP,GI,ARA,
DZ,Alger,El Moudjahid,www.elmoudjahid.com,NP,GI,ENG,
DZ,Alger,El Moudjahid,www.elmoudjahid.com,NP,GI,FRA,
DZ,Alger,El Moudjahid,www.elmoudjahid.com,NP,GI,SPA,
DZ,Alger,El Moudjahid Hebdo,www.elmoudjahid-hebdo.com,NP,GI,ARA,
DZ,Alger,El Raaed,elraaed.com,NP,GI,ARA,
DZ,Alger,El Wassat,www.elwassat.com,NP,GI,ARA,
DZ,Alger,El Watan,www.elwatan.com,NP,GI,FRA,
DZ,Alger,El Watani,elwatani.com,NP,GI,ARA,
DZ,Alger,El Youm,el-youm.info,NP,GI,ARA,
DZ,Alger,Ennahar El Jadid,www.ennaharonline.com,NP,GI,ARA,
DZ,Alger - Algiers,Ennahar El Jadid,www.ennaharonline.com,NP,GI,ENG,
DZ,Alger,Ennahar El Jadid,www.ennaharonline.com,NP,GI,FRA,
DZ,Alger,Hebdo Immobilier,www.hebdoimmobilier-dz.com,NP,RE,FRA,
DZ,Alger,Horizons,www.horizons-dz.com,NP,GI,FRA,
DZ,Alger,Info Soir,www.infosoir.com,NP,GI,FRA,
DZ,Alger,La Nation,www.lanation.dz,NP,GI,FRA,
DZ,Alger,La Nation Arabe,www.lanation-arabe.dz,NP,GI,ARA,
DZ,Alger,La Nation Arabe,www.lanation-arabe.dz,NP,GI,FRA,
DZ,Alger,La Nouvelle Republique,www.lnr-dz.com,NP,GI,FRA,
DZ,Alger,La Tribune,www.latribune-dz.com,NP,GI,FRA,
DZ,Alger,L'Actualite,www.lactualite-dz.info,NP,GI,FRA,
DZ,Alger,L'Auto Marche,www.lautomarche.com,NP,AT,FRA,
DZ,Alger,Le Buteur,www.lebuteur.com,NP,SP,FRA,
DZ,Alger,Le Chiffre d'Affaires,lechiffredaffaires.net,NP,BU,FRA,
DZ,Alger,Le Citoyen,lecitoyendz.com,NP,GI,FRA,
DZ,Alger,Le Courrier d'Algerie,lecourrier-dalgerie.com,NP,GI,FRA,
DZ,Alger,Le Jeune Algerien,sites.google.com,NP,GI,FRA,
DZ,Alger,Le Jeune Independant,www.jeune-independant.net,NP,GI,FRA,
DZ,Alger,Le Jour d'Algerie,www.lejourdalgerie.com,NP,GI,FRA,
DZ,Alger,Le Journal d'Affaires,lejournaldaffaire.com,NP,BU,FRA,
DZ,Alger,Le Maghreb,www.lemaghrebdz.com,NP,BU,FRA,
DZ,Alger,Le Soir d'Algerie,www.lesoirdalgerie.com,NP,GI,FRA,
DZ,Alger,Le Temps d'Algerie,www.letempsdz.com,NP,GI,FRA,
DZ,Alger,Les Debats,www.lesdebats.com,NP,GI,FRA,
DZ,Alger,L'Expression,www.lexpressiondz.com,NP,GI,FRA,
DZ,Alger,Liberte,www.liberte-algerie.com,NP,GI,FRA,
DZ,Alger,Midi Libre,www.lemidi-dz.com,NP,GI,FRA,
DZ,Alger,Planete Sport,www.planetesport.dz,NP,SP,FRA,
DZ,Alger,Reporters,www.reporters.dz,NP,GI,FRA,
DZ,Alger,Sawt Al Ahrar,sawt-alahrar.net,NP,GI,ARA,
DZ,Alger,Transaction d'Algerie,www.transactiondalgerie.com,NP,BU,FRA,
DZ,Alger,Tribune des Lecteurs,www.tribunelecteurs.com,NP,GI,FRA,
DZ,Alger,Waqt El DjazairåÊ,wakteldjazair.com,NP,GI,ARA,
DZ,Annaba,Akhbar Achark,akhbarachark.dz,NP,GI,ARA,
DZ,Annaba,Annaba City,www.annabacity.net,IN,GI,FRA,
DZ,Annaba,Le Provincial,leprovincial.com,NP,GI,FRA,
DZ,Annaba,L'Est Republicain,www.lestrepublicain.com,NP,GI,FRA,
DZ,Annaba,Seybouse Times,www.seybousetimes.com,NP,GI,FRA,
DZ,Bejaia,Bejaia Aujourd'hui,bejaia-aujourdhui.com,IN,GI,FRA,
DZ,Bejaia,Bejaia Info,www.bejaiainfo.com,IN,GI,FRA,
DZ,Batna,Batna Info,batnainfo.com,NP,GI,ARA,
DZ,Batna,Batna Info,batnainfo.com,NP,GI,FRA,
DZ,Blida,Blida APS,www.blida-aps.dz,PA,GI,ARA,
DZ,Blida,Blida APS,www.blida-aps.dz,PA,GI,FRA,
DZ,Bordj Bou Arreridj,Bord Bou Arreridj Info,www.bordj.net,IN,GI,ARA,
DZ,Bordj Bou Arreridj,Bord Bou Arreridj Info,www.bordj.info,IN,GI,FRA,
DZ,Constantine,An Nasr,www.annasronline.com,NP,GI,ARA,
DZ,Constantine,Constantine APS,www.constantine-aps.dz,PA,GI,ARA,
DZ,Constantine,Constantine APS,www.constantine-aps.dz,PA,GI,FRA,
DZ,Constantine,El Acil,www.elacil.com,NP,GI,FRA,
DZ,Constantine,Info Constantine,www.infoconstantine.com,IN,GI,FRA,
DZ,Constantine,Le Quotidien de Constantine,www.lequotidiendeconstantine.com,NP,GI,FRA,
DZ,Djelfa,Djelfa,www.djelfa.info,IN,GI,ARA,
DZ,Djelfa,Djelfa,www.djelfa.info,IN,GI,FRA,
DZ,Djelfa,Sawt Djelfa,sawtdjelfa.com,IN,GI,ARA,
DZ,El Tarf,Radio El Tarf,www.radio-eltarf.com,BC,GI,ARA,Radio
DZ,Ghardaiaran,El Waha,elwaha-dz.com,NP,GI,ARA,
DZ,Jijel,Jijel,www.jijel.info,IN,GI,ARA,
DZ,Jijel,L'Echo de Jijel,www.jijel-echo.com,IN,GI,FRA,
DZ,Laghouat,Laghouat Info,laghouatinfo.net,IN,GI,ARA,
DZ,Mostaganem,Mostaganem Aujourd'hui,www.mostaganem-aujourdhui.com,IN,GI,FRA,
DZ,Mostaganem,Reflexion,www.reflexiondz.net,NP,GI,FRA,
DZ,Oran,Al Wasl,www.alwaslonline.com,NP,GI,ARA,
DZ,Oran,El Djoumhouria,www.eldjoumhouria.dz,NP,GI,ARA,
DZ,Oran,Jeunesse d'Algerie,www.jeunessedalgerie.com,NP,GI,FRA,
DZ,Oran,La Voix de l'Oranie,www.voix-oranie.com,NP,GI,FRA,
DZ,Oran,Le Carrefour d'Algerie,www.carrefourdalgerie.com,NP,GI,FRA,
DZ,Oran,Le Quotidien d'Oran,www.lequotidien-oran.com,NP,GI,FRA,
DZ,Oran,L'Echo d'Oran,www.echo-doran.com,NP,GI,FRA,
DZ,Oran,Journal de L'Oranais,www.oranais.com,IN,GI,FRA,
DZ,Oran,Oran APS,www.oran-aps.dz,PA,GI,ARA,
DZ,Oran,Oran APS,www.oran-aps.dz,PA,GI,FRA,
DZ,Oran,Ouest Tribune,www.ouestribune-dz.com,NP,GI,FRA,
DZ,Ouargla,Ouargla APS,www.ouargla-aps.dz,PA,GI,ARA,
DZ,Ouargla,Ouargla APS,www.ouargla-aps.dz,PA,GI,FRA,
DZ,Ain Oulmene,Les Nouvelles de Ain Oulmene,ain-oulmene.com,IN,GI,FRA,
DZ,El Eulma,Kawalisse,www.kawalisse.com,NP,GI,ARA,
DZ,Setif,Le Setifien,www.lesetifien.com,IN,GI,FRA,
DZ,Setif,Setif,www.setif.net,IN,GI,ARA,
DZ,Setif,Setif Info,www.setif.info,IN,GI,FRA,
DZ,Setif,Setif News,www.setifnews.com,IN,GI,ARA,
DZ,Sidi bel Abbes,Bel Abbes Info,bel-abbes.info,IN,GI,FRA,
DZ,Sidi bel Abbes,La Voix de Sidi bel Abbes,lavoixdesidibelabbes.info,IN,GI,FRA,
DZ,Sidi bel Abbes,Les Echos de Sidi bel Abbes,echosdesidibelabbes.info,IN,GI,FRA,
DZ,Sidi bel Abbes,Ouest Info,ouest-info.org,NP,GI,FRA,
DZ,Skikda,Info Skikda,www.infoskikda.com,IN,GI,ARA,
DZ,Souk Ahras,Souk Ahras Info,www.souk-ahras.info,IN,GI,FRA,
DZ,Tissemsilt,Ouarsensis Info,www.ouarsenis.com,IN,GI,ARA,
DZ,Tissemsilt,Ouarsensis Info,www.ouarsenis.com,IN,GI,FRA,
DZ,Tizi Ouzou,Kabyle,www.kabyle.com,IN,ET,FRA,Kabyle
DZ,Tizi Ouzou,Kabyle Universel,kabyleuniversel.com,IN,ET,FRA,Kabyle
DZ,Tizi Ouzou,La Depeche de Kabylie,www.depechedekabylie.com,NP,GI,FRA,
DZ,Tizi Ouzou,Siwel,www.siwel.info,IN,ET,FRA,Kabyle
DZ,Tizi Ouzou,Tamurt,www.tamurt.info,IN,ET,DEU,Kabyle
DZ,Tizi Ouzou,Tamurt,www.tamurt.info,IN,ET,ENG,Kabyle
DZ,Tizi Ouzou,Tamurt,www.tamurt.info,IN,ET,FRA,Kabyle
DZ,Tizi Ouzou,Tamurt,www.tamurt.info,IN,ET,KAB,Kabyle
AO,National,Radio Nacional de Angola,www.rna.ao,BC,GI,POR,Radio
AO,National,Televisao Publica de Angola,tpa.sapo.ao,BC,GI,POR,TV
AO,Foreign,VOA,www.voaportugues.com,BC,GI,POR,Radio
AO,National,Ango Noticias,www.angonoticias.com,IN,GI,POR,
AO,National,Angola 24,www.angola24.net,IN,GI,POR,
AO,National,Angola 24 Horas,www.angola24horas.com,IN,GI,POR,
AO,National,Angola Global,www.angolaglobal.net,IN,GI,POR,
AO,National,Angola Monitor,www.actsa.org,IN,GI,ENG,Site 1 Also POR
AO,National,Angola Monitor,www.angolamonitor.co.ao,IN,GI,ENG,Site 2
AO,National,Angola Monitor,www.angolamonitor.co.ao,IN,GI,POR,Site 2
AO,National,Angolanas,angolanas.net,IN,GI,POR,
AO,National,Club K,www.club-k.net,IN,GI,POR,
AO,National,Portal de Angola,www.portaldeangola.com,IN,GI,POR,
AO,National,Rede Angola,www.redeangola.info,IN,GI,POR,
AO,Foreign,Sapo,www.sapo.ao,IN,GI,POR,
AO,National,Africa 21,www.africa21digital.com,MG,GI,POR,
AO,National,Africa Today,www.africatoday.co.ao,MG,GI,POR,
AO,National,Economia e Mercado,economiaemercado.sapo.ao,MG,BU,POR,
AO,National,Exame,exame.co.ao,MG,BU,POR,
AO,National,Rumo,www.rumo.co.ao,MG,BU,POR,
AO,National,Jornal de Angola,jornaldeangola.sapo.ao,NP,GI,POR,
AO,National,ANGOP,www.portalangop.co.ao,PA,GI,ENG,
AO,National,ANGOP,www.portalangop.co.ao,PA,GI,FRA,
AO,National,ANGOP,www.portalangop.co.ao,PA,GI,POR,
AO,National,ANGOP,www.portalangop.co.ao,PA,GI,SPA,
AO,Cabinda,Cabinda Nation Press,www.cabindanation.net,IN,GI,POR,A
AO,Cabinda,Ibinda,www.ibinda.com,IN,GI,POR,
AO,Luanda,Agora,agora.co.ao,NP,GI,POR,
AO,Luanda,Economia e Financas,jornaldeeconomia.sapo.ao,NP,BU,POR,
AO,Luanda,Expansao,www.expansao.co.ao,NP,BU,POR,
AO,Luanda,Folha 8,jornalf8.net,NP,GI,POR,
AO,Luanda,Jornal de Angola,jornaldeangola.sapo.ao,NP,GI,POR,
AO,Luanda,Jornal dos Desportos,jornaldosdesportos.sapo.ao,NP,SP,POR,
AO,Luanda,Mercado,www.mercado.co.ao,NP,BU,POR,
AO,Luanda,Nova Gazeta,novagazeta.co.ao,NP,GI,POR,
AO,Luanda,Novo Jornal,www.novojornal.co.ao,NP,GI,POR,
AO,Luanda,O Pais,opais.co.ao,NP,GI,POR,
AO,Luanda,Radio Despertar,radiodespertarangola.net,BC,GI,POR,Radio
AO,Luanda,Radio Ecclesia,www.radioecclesia.org,BC,GI,POR,Radio
AO,Luanda,Semanario Economico,semanarioeconomico.co.ao,NP,BU,POR,
BJ,National,Benin 24 TV,www.benin24tv.com,BC,GI,FRA,Radio TV
BJ,National,ORTB,www.ortb.info,BC,GI,FRA,TV
BJ,National,24 Heures au Benin,www.24haubenin.info,IN,GI,FRA,
BJ,National,A Cotonou,www.acotonou.com,IN,GI,FRA,
BJ,National,Benin,www.xn--bnin-bpa.info,IN,GI,FRA,
BJ,National,Benin Info,www.benininfo.com,IN,GI,FRA,
BJ,National,Benin Site,beninsite.net,IN,GI,FRA,
BJ,National,Ici Benin,www.icibenin.com,IN,GI,FRA,
BJ,National,Jolome News,bj.jolome.com,IN,GI,FRA,
BJ,National,L'Araignee,www.laraignee.org,IN,GI,FRA,
BJ,National,L'Autre Fraternite,lautrefraternite.com,IN,GI,FRA,
BJ,National,Presse du Benin,www.pressedubenin.info,IN,GI,FRA,
BJ,National,Sonangnon,www.sonangnon.org,IN,GI,FRA,
BJ,National,Visages du Benin,actualites.visages-du-benin.com,IN,GI,FRA,
BJ,National,Fraternite,www.fraternitebj.info,NP,GI,FRA,
BJ,National,La Nation,www.lanationbenin.info,NP,GI,FRA,
BJ,National,Le Matinal,www.actubenin.com,NP,GI,FRA,
BJ,National,Agence Benin Presse,www.abp.gouv.bj,PA,GI,FRA,
BJ,Cotonou,Fraternite,www.fraternitebj.info,NP,GI,FRA,
BJ,Cotonou,Golfe FM,www.golfemediaonline.com,BC,GI,FRA,Radio
BJ,Cotonou,Golfe TV,www.golfemediaonline.com,BC,GI,FRA,TV
BJ,Cotonou,La Gazette du Golfe,www.golfemediaonline.com,NP,GI,FRA,
BJ,Cotonou,La Nation,www.lanationbenin.info,NP,GI,FRA,
BJ,Cotonou,La Nouvelle Tribune,www.lanouvelletribune.info,NP,GI,FRA,
BJ,Cotonou,La Presse du Jour,www.lapressedujour.net,NP,GI,FRA,
BJ,Cotonou,L'Autre Quotidien,www.autrequotidien.com,NP,GI,FRA,
BJ,Cotonou,Le Confrere de La Matinee,leconfrere.info,NP,GI,FRA,
BJ,Cotonou,Le Matin,www.quotidienlematin.com,NP,GI,FRA,
BJ,Cotonou,Le Matinal,www.actubenin.com,NP,GI,FRA,
BJ,Cotonou,L'Evenement Precis,levenementprecis.com,NP,GI,FRA,
BJ,Cotonou,Les 4 Verites,www.les4verites.info,NP,GI,FRA,
BJ,Cotonou,Nouvelles Mutations,www.nouvellesmutations.com,NP,GI,FRA,
BJ,Porto Novo,Adjinikou,www.journal-adjinakou-benin.info,NP,GI,FRA,
BJ,Porto Novo,La Tribune de La Capitale,latribunedelacapitale.com,NP,GI,FRA,
BW,Nationwide,Radio Botswana,www.radiobotswana.gov.bw,BC,GI,ENG,Radio
BW,Nationwide,Google,news.google.com,IN,GI,ENG,
BW,Nationwide,Botswana Gazette,www.gazettebw.com,NP,GI,ENG,
BW,Nationwide,Daily News,www.dailynews.gov.bw,NP,GI,ENG,
BW,Gaborone,Botswana Gazette,www.gazettebw.com,NP,GI,ENG,Radio
BW,Gaborone,Botswana Guardian,www.botswanaguardian.co.bw,NP,GI,ENG,
BW,Gaborone,Business Weekly and Review,www.businessweekly.co.bw,NP,BU,ENG,
BW,Gaborone,Daily News,www.dailynews.gov.bw,NP,GI,ENG,
BW,Gaborone,Echo,www.echo.co.bw,NP,GI,ENG,
BW,Gaborone,Gabz FM,www.gabzfm.com,BC,GI,ENG,
BW,Gaborone,Midweek Sun,www.themidweeksun.co.bw,NP,GI,ENG,
BW,Gaborone,Mmegi,www.mmegi.bw,NP,GI,ENG,
BW,Gaborone,Patriot,www.thepatriot.co.bw,NP,GI,ENG,
BW,Gaborone,Sunday Standard,www.sundaystandard.info,NP,GI,ENG,
BW,Gaborone,Voice,www.thevoicebw.com,NP,GI,ENG,
BW,Gaborone,Weekend Post,www.weekendpost.co.bw,NP,GI,ENG,
BW,Maun,Ngami Times,www.ngamitimes.com,NP,GI,ENG,
BF,National,Radiodiffusion Television du,www.rtb.bf,BC,GI,FRA,Radio TV
BF,National,A Ouaga,www.aouaga.com,IN,GI,FRA,
BF,National,Actu Burkina,www.actuburkina.com,IN,GI,FRA,
BF,National,Burkina 24,www.burkina24.com,IN,GI,FRA,
BF,National,Faso Actu,faso-actu.net,IN,GI,FRA,
BF,National,Faso News,www.fasonews.net,IN,GI,FRA,
BF,National,Faso Presse,www.fasopresse.net,IN,GI,FRA,
BF,National,Le Faso,lefaso.net,IN,GI,FRA,
BF,National,Faso Zine,www.fasozine.com,MG,GI,FRA,
BF,National,Le Pays,lepays.bf,NP,GI,FRA,
BF,National,L'Observateur Paalga,www.lobservateur.bf,NP,GI,FRA,
BF,National,Sidwaya,www.sidwaya.bf,NP,GI,FRA,
BF,National,Agence d'Information du Burkina,www.aib.bf,PA,GI,FRA,
BF,Ouagadougou,Courrier Confidentiel,www.courrierconfidentiel.net,NP,GI,FRA,Radio
BF,Ouagadougou,Evasion,evasion.lepays.bf,NP,GI,FRA,
BF,Ouagadougou,Journal du Jeudi,www.journaldujeudi.com,NP,SR,FRA,
BF,Ouagadougou,Le Pays,lepays.bf,NP,GI,FRA,
BF,Ouagadougou,L'Evenement,www.evenement-bf.net,NP,GI,FRA,
BF,Ouagadougou,L'Hebdomadaire du Burkina,www.hebdo.bf,NP,GI,FRA,
BF,Ouagadougou,L'Observateur Paalga,www.lobservateur.bf,NP,GI,FRA,
BF,Ouagadougou,L'Opinion,www.zedcom.bf,NP,GI,FRA,
BF,Ouagadougou,Mutations,mutationsbf.net,NP,GI,FRA,
BF,Ouagadougou,Savane FM,www.savanefm.bf,BC,GI,FRA,
BF,Ouagadougou,Sidwaya,www.sidwaya.bf,NP,GI,FRA,
BI,Nationwide,Bonesha FM,www.bonesha.bi,BC,GI,FRA,Radio
BI,Nationwide,Radio Isanganiro,www.isanganiro.org,BC,GI,FRA,Radio
BI,Nationwide,Radio Publique Africaine,www.rpa.bi,BC,GI,FRA,Radio
BI,Nationwide,RTNB,www.rtnb.bi,BC,GI,FRA,Radio TV
BI,Nationwide,ARIB,www.arib.info,IN,GI,FRA,
BI,Nationwide,Burundi 24,burundi-24.com,IN,GI,ENG,
BI,Nationwide,Burundi Information,www.burundi-info.com,IN,GI,FRA,
BI,Nationwide,Burundi Realites,www.burundirealite.org,IN,GI,ENG,
BI,Nationwide,Burundi Realites,www.burundirealite.org,IN,GI,FRA,
BI,Nationwide,Burundi Sites,www.burundi-sites.com,IN,GI,FRA,
BI,Nationwide,Gouvernement du Burundi,www.burundi.gov.bi,IN,GO,FRA,
BI,Nationwide,PPB,ppbdi.com,IN,GI,FRA,
BI,Nationwide,Umuco,www.umuco.com,IN,GI,FRA,
BI,Nationwide,Iwacu,www.iwacu-burundi.org,NP,GI,FRA,
BI,Nationwide,Agence Bujumbura News,www.bujumbura.be,PA,GI,FRA,
BI,Nationwide,Agence Burundaise de Presse,abpinfos.gov.bi,PA,GI,FRA,
BI,Nationwide,Net Press,www.netpress.bi,PA,GI,FRA,
BI,Bujumbura,Iwacu,www.iwacu-burundi.org,NP,GI,FRA,
CM,Nationwide,Cameroon Radio Television,crtv.cm,BC,GI,FRA,Radio TV Also ENG
CM,Nationwide,Africa Presse,www.africapresse.com,IN,GI,FRA,
CM,Nationwide,Bonaberi,www.bonaberi.com,IN,GI,FRA,
CM,Nationwide,Cam News 24,www.camnews24.com,IN,GI,FRA,
CM,Nationwide,Camer,www.camer.be,IN,GI,FRA,
CM,Nationwide,Camer Post,www.camerpost.com,IN,GI,FRA,
CM,Nationwide,Cameroon Daily Journal,cameroonjournal.com,IN,GI,ENG,
CM,Nationwide,Cameroon Info,www.cameroon-info.net,IN,GI,FRA,
CM,Nationwide,Cameroon Online,www.cameroononline.org,IN,GI,ENG,Also FRA
CM,Nationwide,Cameroon Web,www.cameroonweb.com,IN,GI,ENG,
CM,Nationwide,Cameroun 24,www.cameroun24.net,IN,GI,FRA,
CM,Nationwide,Cameroun Actu,www.camerounactu.net,IN,GI,FRA,
CM,Nationwide,Cameroun Link,www.camerounlink.net,IN,GI,FRA,
CM,Nationwide,Cameroun Online,www.cameroun-online.com,IN,GI,FRA,
CM,Nationwide,Cameroon Web News,cameroonwebnews.com,IN,GI,FRA,Also ENG
CM,Nationwide,Journal du Cameroun,www.journalducameroun.com,IN,GI,FRA,
CM,Nationwide,Mboa,www.news.mboa.info,IN,GI,FRA,
CM,Nationwide,News du Camer,newsducamer.com,IN,GI,FRA,
CM,Nationwide,Postwatch,www.postwatchmagazine.com,MG,GI,ENG,
CM,Nationwide,Cameroon Tribune,www.cameroon-tribune.cm,NP,GI,FRA,Also ENG
CM,Yaounde,Cameroon Tribune,www.cameroon-tribune.cm,NP,GI,FRA,Also ENG
CM,Yaounde,Germinal,germinalnewspaper.com,NP,GI,FRA,
CM,Yaounde,L'Action,journal.rdpcpdm.cm,NP,GI,FRA,Also ENG
CM,Yaounde,Mutations,mutations-online.info,NP,GI,FRA,
CM,Douala,Dikalo,www.journaldikalo.info,NP,GI,FRA,
CM,Douala,La Nouvelle Expression,www.lanouvelleexpression.info,NP,GI,FRA,
CM,Douala,Le Messager,quotidienlemessager.net,NP,GI,FRA,
CM,Douala,L'Effort Camerounais,www.leffortcamerounais.com,NP,RL,ENG,Roman Catholic
CM,Douala,L'Effort Camerounais,www.leffortcamerounais.info,NP,RL,FRA,Roman Catholic
CM,Bamenda,Bamenda Online,bamendaonline.net,IN,GI,ENG,
CM,Buea,Cameroon Post,www.cameroonpostline.com,NP,GI,ENG,
CM,Kumba,K Town Diary,www.k-towndiary.com,IN,GI,ENG,
CM,Limbe,Eden,edennewspaper.org,NP,GI,ENG,
CV,Nationwide,Radio Televisao Caboverdiana,www.rtc.cv,BC,GI,POR,Radio TV
CV,Nationwide,Alfa Comunicacoes,www.alfa.cv,IN,GI,POR,
CV,Nationwide,Cabo Diario,www.cabodiario.com,IN,GI,POR,
CV,Nationwide,Cabo Verde Online,www.caboverdeonline.com,IN,GI,ENG,
CV,Nationwide,Liberal,liberal.sapo.cv,IN,GI,POR,
CV,Nationwide,Ocean Press,www.oceanpress.info,IN,GI,ENG,
CV,Nationwide,Ocean Press,www.oceanpress.info,IN,GI,POR,
CV,Nationwide,Sapo,www.sapo.cv,IN,GI,POR,
CV,Nationwide,Expresso das Ilhas,www.expressodasilhas.sapo.cv,NP,GI,POR,
CV,Vila Nova Sintra,Brava News,www.bravanews.com,IN,GI,POR,
CV,Praia,A Nacao,www.alfa.cv,NP,GI,POR,
CV,Praia,A Semana,asemana.sapo.cv,NP,GI,ENG,
CV,Praia,A Semana,asemana.sapo.cv,NP,GI,POR,
CV,Praia,Expresso das Ilhas,www.expressodasilhas.sapo.cv,NP,GI,POR,
CV,Mindelo,Noticias do Norte,noticiasdonorte.publ.cv,IN,GI,POR,
