"cc","operator","quarter",price
"BJ","MTN","2015_Q1",101.2045051
"BJ","MTN","2016_Q1",17.18292773
"BJ","MTN","2016_Q2",17.23145637
"BJ","MTN","2016_Q3",11.90640207
"BJ","MTN","2016_Q4",11.5229562
"BJ","MTN","2017_Q1",11.38392785
"BJ","MTN","2017_Q2",12.00027429
"BJ","MTN","2017_Q3",12.53851114
"BJ","MTN","2017_Q4",7.182798634
"BJ","Moov (Maroc Telecom)","2014_Q3",12.11179184
"BJ","Moov (Maroc Telecom)","2014_Q4",11.42920276
"BJ","Moov (Maroc Telecom)","2015_Q1",10.29198357
"BJ","Moov (Maroc Telecom)","2015_Q2",10.1144961
"BJ","Moov (Maroc Telecom)","2015_Q3",10.17156032
"BJ","Moov (Maroc Telecom)","2015_Q4",10.01311718
"BJ","Moov (Maroc Telecom)","2016_Q1",10.30975664
"BJ","Moov (Maroc Telecom)","2016_Q4",49.38409799
"BJ","Moov (Maroc Telecom)","2017_Q2",8.571624494
"BJ","Moov (Maroc Telecom)","2017_Q3",8.956079387
"BJ","Moov (Maroc Telecom)","2017_Q4",8.978498292
"BJ","Glo Mobile (Globacom)","2014_Q3",10.09315987
"BJ","Glo Mobile (Globacom)","2014_Q4",9.52433563
"BJ","Glo Mobile (Globacom)","2015_Q1",8.576652978
"BJ","Glo Mobile (Globacom)","2015_Q2",8.428746747
"BJ","Glo Mobile (Globacom)","2015_Q3",8.476300264
"BJ","Glo Mobile (Globacom)","2015_Q4",8.34426432
"BJ","Glo Mobile (Globacom)","2016_Q1",8.591463865
"BJ","Glo Mobile (Globacom)","2016_Q2",8.615728184
"BJ","Glo Mobile (Globacom)","2016_Q3",8.504572909
"BJ","Glo Mobile (Globacom)","2016_Q4",8.230682999
"BJ","Glo Mobile (Globacom)","2017_Q1",8.131377032
"BJ","Glo Mobile (Globacom)","2017_Q2",8.571624494
"BJ","Glo Mobile (Globacom)","2017_Q3",8.956079387
"BJ","Glo Mobile (Globacom)","2017_Q4",8.978498292
"BW","Mascom (MTN)","2011_Q1",91.69965307
"BW","Mascom (MTN)","2014_Q2",21.8034071
"BW","Mascom (MTN)","2014_Q3",21.43756451
"BW","Mascom (MTN)","2014_Q4",20.06433326
"BW","Mascom (MTN)","2015_Q1",19.7587137
"BW","Mascom (MTN)","2015_Q2",19.47489902
"BW","Mascom (MTN)","2015_Q3",18.79306745
"BW","Mascom (MTN)","2015_Q4",17.91367316
"BW","Mascom (MTN)","2016_Q1",16.93836764
"BW","Mascom (MTN)","2016_Q2",17.51248575
"BW","Mascom (MTN)","2016_Q3",18.0164722
"BW","Mascom (MTN)","2016_Q4",18.12723593
"BW","Mascom (MTN)","2017_Q1",18.2802979
"BW","Mascom (MTN)","2017_Q2",12.59876356
"BW","Mascom (MTN)","2017_Q3",12.78493558
"BW","Mascom (MTN)","2017_Q4",12.61737089
"BW","Orange","2014_Q2",69.2171654
"BW","Orange","2014_Q3",68.05576035
"BW","Orange","2014_Q4",63.69629606
"BW","Orange","2015_Q1",62.72607523
"BW","Orange","2015_Q2",51.52089688
"BW","Orange","2015_Q3",29.83026579
"BW","Orange","2015_Q4",28.43440183
"BW","Orange","2016_Q1",26.88629785
"BW","Orange","2016_Q2",27.79759643
"BW","Orange","2016_Q3",28.59757493
"BW","Orange","2016_Q4",28.77339037
"BW","Orange","2017_Q1",29.01634587
"BW","Orange","2017_Q2",29.29945015
"BW","Orange","2017_Q3",29.73240833
"BW","Orange","2017_Q4",39.0258216
"BW","Orange","\"2017_Q4",NULL
"BW","Be Mobile (BTC)","2014_Q2",86.52145674
"BW","Be Mobile (BTC)","2014_Q3",85.06970044
"BW","Be Mobile (BTC)","2015_Q1",52.27172936
"BW","Be Mobile (BTC)","2015_Q2",51.52089688
"BW","Be Mobile (BTC)","2015_Q3",27.34441031
"BW","Be Mobile (BTC)","2015_Q4",47.39066972
"BW","Be Mobile (BTC)","2016_Q1",44.81049641
"BW","Be Mobile (BTC)","2016_Q2",46.32932739
"BW","Be Mobile (BTC)","2016_Q3",47.66262488
"BW","Be Mobile (BTC)","2017_Q1",48.36057646
"BW","Be Mobile (BTC)","2017_Q2",48.83241691
"BW","Be Mobile (BTC)","2017_Q3",49.55401388
"BW","Be Mobile (BTC)","2017_Q4",48.90453834
"BF","Airtel (Bharti Airtel)","2014_Q3",10.09315987
"BF","Airtel (Bharti Airtel)","2014_Q4",9.52433563
"BF","Airtel (Bharti Airtel)","2015_Q1",8.576652978
"BF","Airtel (Bharti Airtel)","2015_Q2",8.428746747
"BF","Airtel (Bharti Airtel)","2015_Q3",8.476300264
"BF","Airtel (Bharti Airtel)","2015_Q4",8.34426432
"BF","Airtel (Bharti Airtel)","2016_Q1",8.409509473
"BF","Airtel (Bharti Airtel)","2016_Q2",8.615728184
"BF","Airtel (Bharti Airtel)","2016_Q3",8.504572909
"BF","Airtel (Bharti Airtel)","2016_Q4",8.230682999
"BF","Airtel (Bharti Airtel)","2017_Q1",8.131377032
"BF","Airtel (Bharti Airtel)","2017_Q2",8.571624494
"BF","Airtel (Bharti Airtel)","2017_Q3",8.956079387
"BF","Airtel (Bharti Airtel)","2017_Q4",8.978498292
"BF","Telmob (Onatel)","2014_Q3",10.09315987
"BF","Telmob (Onatel)","2014_Q4",9.52433563
"BF","Telmob (Onatel)","2015_Q1",8.576652978
"BF","Telmob (Onatel)","2015_Q2",8.428746747
"BF","Telmob (Onatel)","2015_Q3",8.476300264
"BF","Telmob (Onatel)","2015_Q4",8.34426432
"BF","Telmob (Onatel)","2016_Q1",8.409509473
"BF","Telmob (Onatel)","2016_Q2",8.615728184
"BF","Telmob (Onatel)","2016_Q3",8.504572909
"BF","Telmob (Onatel)","2016_Q4",8.230682999
"BF","Telmob (Onatel)","2017_Q1",8.131377032
"BF","Telmob (Onatel)","2017_Q2",8.571624494
"BF","Telmob (Onatel)","2017_Q3",8.956079387
"BF","Telmob (Onatel)","2017_Q4",7.182798634
"BF","Telecel (Planor afrique)","2017_Q2",8.571624494
"BF","Telecel (Planor afrique)","2017_Q3",8.956079387
"BF","Telecel (Planor afrique)","2017_Q4",8.978498292
"BI","Econet leo","2016_Q2",6.451737776
"BI","Econet leo","2016_Q3",6.069802731
"BI","Econet leo","2016_Q4",6.05411165
"BI","Econet leo","2017_Q1",18.01939247
"BI","Econet leo","2017_Q2",17.80352035
"BI","Smart","2016_Q1",5.853696609
"BI","Smart","2016_Q2",5.806563998
"BI","Smart","2016_Q3",5.462822458
"BI","Smart","2016_Q4",5.448700485
"BI","Smart","2017_Q1",5.405817741
"BI","Smart","2017_Q2",3.263978731
"BI","Smart","2017_Q3",2.91994674
"BI","Smart","2017_Q4",1.84414125
"BI","Lumitel (Viettel)","2016_Q1",5.853696609
"BI","Lumitel (Viettel)","2016_Q2",5.806563998
"BI","Lumitel (Viettel)","2016_Q3",5.462822458
"BI","Lumitel (Viettel)","2016_Q4",5.448700485
"BI","Lumitel (Viettel)","2017_Q1",5.405817741
"BI","Lumitel (Viettel)","2017_Q2",5.341056105
"BI","Lumitel (Viettel)","2017_Q3",5.255904132
"BI","Lumitel (Viettel)","2017_Q4",5.186647265
"CM","MTN","2014_Q3",24.22363258
"CM","MTN","2014_Q4",22.85448738
"CM","MTN","2015_Q1",20.58089578
"CM","MTN","2015_Q2",20.22899219
"CM","MTN","2015_Q3",20.34167229
"CM","MTN","2015_Q4",13.35140223
"CM","MTN","2016_Q1",6.724395603
"CM","MTN","2016_Q2",6.885677103
"CM","MTN","2016_Q3",6.803831918
"CM","MTN","2016_Q4",6.589670033
"CM","MTN","2017_Q1",4.872257528
"CM","MTN","2017_Q2",5.021887058
"CM","MTN","2017_Q3",5.373647632
"CM","MTN","2017_Q4",5.387098975
"CM","Orange","2014_Q2",20.8054194
"CM","Orange","2014_Q3",20.18636048
"CM","Orange","2014_Q4",19.04540615
"CM","Orange","2015_Q1",13.72059719
"CM","Orange","2015_Q2",13.48599479
"CM","Orange","2015_Q3",13.56111486
"CM","Orange","2015_Q4",6.675701116
"CM","Orange","2016_Q1",6.724395603
"CM","Orange","2016_Q2",6.885677103
"CM","Orange","2016_Q3",6.803831918
"CM","Orange","2016_Q4",8.961951245
"CM","Orange","2017_Q1",6.626270238
"CM","Orange","2017_Q2",6.69584941
"CM","Orange","2017_Q3",7.164863509
"CM","Orange","2017_Q4",7.182798634
"CM","CamTel","2016_Q2",10.32851565
"CM","CamTel","2016_Q3",10.20574788
"CM","CamTel","2016_Q4",13.17934007
"CM","CamTel","2017_Q1",9.744515056
"CM","CamTel","2017_Q2",10.04377412
"CM","CamTel","2017_Q3",10.74729526
"CM","CamTel","2017_Q4",10.77419795
"CM","Nexttel (Viettel)","2015_Q3",13.56111486
"CM","Nexttel (Viettel)","2015_Q4",13.35140223
"CM","Nexttel (Viettel)","2016_Q1",13.44879121
"CM","Nexttel (Viettel)","2016_Q2",6.885677103
"CM","Nexttel (Viettel)","2016_Q4",17.57245342
"CM","Nexttel (Viettel)","2017_Q1",12.99268674
"CM","Nexttel (Viettel)","2017_Q3",14.32972702
"CM","Nexttel (Viettel)","2017_Q4",14.36559727
"CV","CVMovel (Cabo Verde Telecom)","2015_Q3",5.051377561
"CV","CVMovel (Cabo Verde Telecom)","2015_Q4",4.975025373
"CV","CVMovel (Cabo Verde Telecom)","2016_Q1",5.007205369
"CV","CVMovel (Cabo Verde Telecom)","2016_Q2",5.03330714
"CV","CVMovel (Cabo Verde Telecom)","2016_Q3",4.965691128
"CV","CVMovel (Cabo Verde Telecom)","2016_Q4",4.80142671
"CV","CVMovel (Cabo Verde Telecom)","2017_Q1",4.736129905
"CV","CVMovel (Cabo Verde Telecom)","2017_Q2",4.883883185
"CV","CVMovel (Cabo Verde Telecom)","2017_Q3",5.219985086
"CV","CVMovel (Cabo Verde Telecom)","2017_Q4",5.234483495
"CV","T+ (Teylium)","2015_Q3",5.051377561
"CV","T+ (Teylium)","2015_Q4",4.975025373
"CV","T+ (Teylium)","2016_Q1",5.007205369
"CV","T+ (Teylium)","2016_Q2",5.136027693
"CV","T+ (Teylium)","2016_Q3",5.067031763
"CV","T+ (Teylium)","2016_Q4",4.89941501
"CV","T+ (Teylium)","2017_Q1",4.832785618
"CV","T+ (Teylium)","2017_Q2",4.983554271
"CV","T+ (Teylium)","2017_Q3",5.326515394
"CV","T+ (Teylium)","2017_Q4",5.341309689
"CF","Orange","2017_Q4",17.95699658
"CF","Telecel (Econet)","2016_Q4",6.578914907
"CF","Telecel (Econet)","2017_Q1",6.496343371
"CF","Telecel (Econet)","2017_Q2",6.69584941
"CF","Telecel (Econet)","2017_Q3",7.164863509
"CF","Telecel (Econet)","2017_Q4",7.182798634
"TD","Airtel (Bharti Airtel)","2015_Q3",16.95139357
"TD","Airtel (Bharti Airtel)","2015_Q4",16.68925279
"TD","Airtel (Bharti Airtel)","2016_Q1",16.81098901
"TD","Airtel (Bharti Airtel)","2016_Q2",17.21419276
"TD","Airtel (Bharti Airtel)","2016_Q3",17.0095798
"TD","Airtel (Bharti Airtel)","2016_Q4",16.44728727
"TD","Airtel (Bharti Airtel)","2017_Q1",16.24085843
"TD","Airtel (Bharti Airtel)","2017_Q2",20.08753142
"TD","Airtel (Bharti Airtel)","2017_Q3",21.49459053
"TD","Airtel (Bharti Airtel)","2017_Q4",21.5483959
"TD","Tigo ","2015_Q3",16.95139357
"TD","Tigo ","2015_Q4",16.68925279
"TD","Tigo ","2016_Q1",16.81098901
"TD","Tigo ","2016_Q2",17.21419276
"TD","Tigo ","2016_Q3",17.0095798
"TD","Tigo ","2016_Q4",16.44728727
"TD","Tigo ","2017_Q1",19.48903011
"TD","Tigo ","2017_Q2",20.08753142
"TD","Tigo ","2017_Q3",21.49459053
"TD","Tigo ","2017_Q4",21.5483959
"KM","Huri (Comores Telecom)","2017_Q1",10.84410514
"KM","Huri (Comores Telecom)","2017_Q2",11.14039798
"KM","Huri (Comores Telecom)","2017_Q3",12.01960638
"KM","Huri (Comores Telecom)","2017_Q4",11.98270656
"KM","Telma","2017_Q1",8.675284116
"KM","Telma","2017_Q2",11.14039798
"KM","Telma","2017_Q3",12.01960638
"KM","Telma","2017_Q4",11.98270656
"CG","Airtel (Bharti Airtel)","2015_Q3",16.95139357
"CG","Airtel (Bharti Airtel)","2015_Q4",16.68925279
"CG","Airtel (Bharti Airtel)","2016_Q1",16.81098901
"CG","Airtel (Bharti Airtel)","2016_Q2",17.21419276
"CG","Airtel (Bharti Airtel)","2016_Q3",17.0095798
"CG","Airtel (Bharti Airtel)","2016_Q4",16.44728727
"CG","Airtel (Bharti Airtel)","2017_Q2",16.73962353
"CG","Airtel (Bharti Airtel)","2017_Q3",17.91215877
"CG","Airtel (Bharti Airtel)","2017_Q4",17.95699658
"CG","MTN","2015_Q4",35.8818935
"CG","MTN","2016_Q1",36.14362637
"CG","MTN","2016_Q2",37.01051443
"CG","MTN","2016_Q3",36.57059656
"CG","MTN","2016_Q4",16.44728727
"CG","MTN","2017_Q1",16.44711733
"CG","MTN","2017_Q2",16.95221674
"CG","MTN","2017_Q3",18.13964319
"CG","MTN","2017_Q4",4.489249146
"CI","MTN","2014_Q3",20.18631973
"CI","MTN","2014_Q4",19.04867126
"CI","MTN","2015_Q1",17.15330596
"CI","MTN","2015_Q2",16.85749349
"CI","MTN","2015_Q3",16.95260053
"CI","MTN","2015_Q4",16.68852864
"CI","MTN","2016_Q1",16.81901895
"CI","MTN","2016_Q2",12.92186913
"CI","MTN","2016_Q3",12.75515845
"CI","MTN","2016_Q4",12.34437836
"CI","MTN","2017_Q1",8.129750757
"CI","MTN","2017_Q2",8.569910169
"CI","MTN","2017_Q3",8.954288171
"CI","MTN","2017_Q4",8.976702593
"CI","Orange","2015_Q4",25.03279296
"CI","Orange","2016_Q1",25.22852842
"CI","Orange","2016_Q2",8.87420003
"CI","Orange","2016_Q3",8.759710096
"CI","Orange","2016_Q4",8.477603488
"CI","Orange","2017_Q1",8.375318343
"CI","Orange","2017_Q2",8.828773229
"CI","Orange","2017_Q3",9.224761768
"CI","Orange","2017_Q4",7.182798634
"CI","Moov (Maroc Telecom)","2014_Q3",11.10247585
"CI","Moov (Maroc Telecom)","2014_Q4",10.47676919
"CI","Moov (Maroc Telecom)","2015_Q1",9.434318276
"CI","Moov (Maroc Telecom)","2015_Q2",9.271621421
"CI","Moov (Maroc Telecom)","2015_Q3",8.306774259
"CI","Moov (Maroc Telecom)","2015_Q4",8.177379033
"CI","Moov (Maroc Telecom)","2016_Q1",8.241319284
"CI","Moov (Maroc Telecom)","2016_Q2",8.44341362
"CI","Moov (Maroc Telecom)","2016_Q3",8.334481451
"CI","Moov (Maroc Telecom)","2016_Q4",8.066069339
"CI","Moov (Maroc Telecom)","2017_Q1",7.968749492
"CI","Moov (Maroc Telecom)","2017_Q2",8.400192004
"CI","Moov (Maroc Telecom)","2017_Q3",8.776957799
"CI","Moov (Maroc Telecom)","2017_Q4",8.798928326
"CI","YooMee","2014_Q3",30.2794796
"CI","YooMee","2014_Q4",28.57300689
"CI","YooMee","2015_Q1",25.72995893
"CI","YooMee","2015_Q2",25.28624024
"CI","YooMee","2015_Q3",25.42890079
"CI","YooMee","2015_Q4",25.03279296
"CI","YooMee","2016_Q1",25.22852842
"CI","YooMee","2016_Q2",25.84718455
"CI","YooMee","2016_Q3",25.51371873
"CI","YooMee","2016_Q4",24.692049
"CI","YooMee","2017_Q1",24.3941311
"CI","YooMee","2017_Q2",25.71487348
"CI","YooMee","2017_Q3",26.86823816
"CI","YooMee","2017_Q4",26.93549488
"CD","Airtel (Bharti Airtel)","2015_Q3",20
"CD","Airtel (Bharti Airtel)","2015_Q4",20
"CD","Airtel (Bharti Airtel)","2016_Q1",20
"CD","Airtel (Bharti Airtel)","2016_Q2",20
"CD","Airtel (Bharti Airtel)","2016_Q3",20
"CD","Airtel (Bharti Airtel)","2016_Q4",20
"CD","Airtel (Bharti Airtel)","2017_Q1",20
"CD","Airtel (Bharti Airtel)","2017_Q2",20
"CD","Airtel (Bharti Airtel)","2017_Q3",20
"CD","Airtel (Bharti Airtel)","2017_Q4",20
"CD","Vodacom","2015_Q3",300
"CD","Vodacom","2015_Q4",20
"CD","Vodacom","2016_Q1",20
"CD","Vodacom","2016_Q2",20
"CD","Vodacom","2016_Q3",20
"CD","Vodacom","2016_Q4",20
"CD","Vodacom","2017_Q1",20
"CD","Vodacom","2017_Q2",20
"CD","Vodacom","2017_Q3",20
"CD","Vodacom","2017_Q4",20
"CD","Tigo","2015_Q3",13
"CD","Tigo","2015_Q4",13
"CD","Tigo","2016_Q1",13
"CD","Tigo","2016_Q2",13
"CD","Tigo","2016_Q3",13
"CD","Tigo","2016_Q4",13
"CD","Tigo","2017_Q1",13
"CD","Tigo","2017_Q2",13
"CD","Orange","2015_Q3",35
"CD","Orange","2015_Q4",20
"CD","Orange","2016_Q1",20
"CD","Orange","2016_Q2",20
"CD","Orange","2016_Q4",15
"CD","Orange","2017_Q1",15
"EG","Vodafone","2015_Q2",13.82673168
"EG","Vodafone","2015_Q4",3.183496753
"EG","Vodafone","2016_Q1",3.133699934
"EG","Vodafone","2016_Q2",2.824179039
"EG","Vodafone","2016_Q3",2.822906645
"EG","Vodafone","2016_Q4",1.740534971
"EG","Vodafone","2017_Q1",1.407816196
"EG","Vodafone","2017_Q2",1.38427464
"EG","Vodafone","2017_Q3",1.690140845
"EG","Vodafone","2017_Q4",1.696832579
"EG","Orange","2015_Q3",3.591309032
"EG","Orange","2015_Q4",3.565516363
"EG","Orange","2016_Q1",3.133699934
"EG","Orange","2016_Q2",2.824179039
"EG","Orange","2016_Q3",2.822906645
"EG","Orange","2016_Q4",1.740534971
"EG","Orange","2017_Q1",1.407816196
"EG","Orange","2017_Q2",1.661129568
"EG","Orange","2017_Q3",1.690140845
"EG","Orange","2017_Q4",1.696832579
"EG","Etisalat","2015_Q4",3.183496753
"EG","Etisalat","2016_Q1",3.133699934
"EG","Etisalat","2016_Q2",2.824179039
"EG","Etisalat","2016_Q3",2.822906645
"EG","Etisalat","2016_Q4",1.740534971
"EG","Etisalat","2017_Q1",1.407816196
"EG","Etisalat","2017_Q2",1.245847176
"EG","Etisalat","2017_Q3",1.690140845
"EG","Etisalat","2017_Q4",1.696832579
"ET","Ethio telecom","2014_Q2",21.07492663
"ET","Ethio telecom","2014_Q3",20.35271251
"ET","Ethio telecom","2014_Q4",10.05232234
"ET","Ethio telecom","2015_Q1",9.952229299
"ET","Ethio telecom","2015_Q2",9.841163619
"ET","Ethio telecom","2015_Q3",9.711849427
"ET","Ethio telecom","2015_Q4",9.595823897
"ET","Ethio telecom","2016_Q1",9.485731089
"ET","Ethio telecom","2016_Q2",7.694639401
"ET","Ethio telecom","2016_Q3",7.548205586
"ET","Ethio telecom","2016_Q4",9.967861199
"ET","Ethio telecom","2017_Q1",7.362455937
"ET","Ethio telecom","2017_Q2",7.252747253
"ET","Ethio telecom","2017_Q3",7.805108798
"ET","Ethio telecom","2017_Q4",6.201841759
"GA","Airtel (Bharti Airtel)","2015_Q1",24.01104508
"GA","Airtel (Bharti Airtel)","2015_Q4",23.3649539
"GA","Airtel (Bharti Airtel)","2016_Q1",23.53538461
"GA","Airtel (Bharti Airtel)","2016_Q2",10.32851565
"GA","Airtel (Bharti Airtel)","2016_Q3",10.20574788
"GA","Airtel (Bharti Airtel)","2016_Q4",21.96556678
"GA","Airtel (Bharti Airtel)","2017_Q1",16.24085843
"GA","Airtel (Bharti Airtel)","2017_Q2",16.73962353
"GA","Airtel (Bharti Airtel)","2017_Q3",16.9987081
"GA","Airtel (Bharti Airtel)","2017_Q4",17.95699658
"GA","Libertis (Gabon Telecom)","2015_Q4",33.37850558
"GA","Libertis (Gabon Telecom)","2016_Q2",9.467806017
"GA","Libertis (Gabon Telecom)","2016_Q3",9.355268887
"GA","Libertis (Gabon Telecom)","2016_Q4",12.08106173
"GA","Libertis (Gabon Telecom)","2017_Q1",22.7372018
"GA","Libertis (Gabon Telecom)","2017_Q2",9.206792939
"GA","Libertis (Gabon Telecom)","2017_Q3",9.349289454
"GA","Libertis (Gabon Telecom)","2017_Q4",9.876348122
"GA","Moov","2015_Q3",16.95139357
"GA","Moov","2015_Q4",16.68925279
"GA","Moov","2016_Q1",16.81098901
"GA","Moov","2016_Q2",17.21419276
"GA","Moov","2016_Q3",17.0095798
"GA","Moov","2016_Q4",21.96556678
"GA","Moov","2017_Q1",16.24085843
"GA","Azur","2015_Q3",6.78055743
"GA","Azur","2015_Q4",6.675701116
"GA","Azur","2016_Q1",6.724395603
"GA","Azur","2016_Q2",6.885677103
"GA","Azur","2016_Q3",6.803831918
"GA","Azur","2016_Q4",8.786226711
"GA","Azur","2017_Q1",6.496343371
"GA","Azur","2017_Q2",6.69584941
"GA","Azur","2017_Q3",6.799483239
"GA","Azur","2017_Q4",7.182798634
"GM","Africell","2016_Q2",6.541591438
"GM","Africell","2016_Q3",6.55067603
"GM","Africell","2016_Q4",8.728745505
"GM","Africell","2017_Q1",6.342836055
"GM","Africell","2017_Q2",6.174502672
"GM","Africell","2017_Q3",6.116548043
"GM","Africell","2017_Q4",5.858168417
"GM","Gamcel","2017_Q2",6.062238987
"GM","Gamcel","2017_Q3",6.005338078
"GM","Gamcel","2017_Q4",5.751656264
"GM","Comium","2016_Q2",475.7521046
"GM","Comium","2016_Q3",476.4128022
"GM","Comium","2016_Q4",634.8178549
"GM","Comium","2017_Q1",461.2971676
"GM","Comium","2017_Q2",449.0547398
"GM","Comium","2017_Q3",444.8398577
"GM","Comium","2017_Q4",426.0486121
"GM","QCell","2017_Q2",7.858457946
"GM","QCell","2017_Q3",7.784697509
"GM","QCell","2017_Q4",7.455850713
"GH","Tigo (Millicom)","2014_Q2",18.70998273
"GH","Tigo (Millicom)","2014_Q4",5.647976351
"GH","Tigo (Millicom)","2015_Q1",5.244254971
"GH","Tigo (Millicom)","2015_Q2",4.499499499
"GH","Tigo (Millicom)","2015_Q3",7.807213866
"GH","Tigo (Millicom)","2015_Q4",7.925395609
"GH","Tigo (Millicom)","2016_Q1",7.712458963
"GH","Tigo (Millicom)","2016_Q2",7.819403067
"GH","Tigo (Millicom)","2016_Q3",7.61558555
"GH","Tigo (Millicom)","2016_Q4",7.373199403
"GH","Tigo (Millicom)","2017_Q1",6.816632584
"GH","Tigo (Millicom)","2017_Q2",7.025761124
"GH","Tigo (Millicom)","2017_Q3",6.833712984
"GH","Tigo (Millicom)","2017_Q4",6.734006734
"GH","MTN","2014_Q2",6.268000915
"GH","MTN","2014_Q3",5.71575548
"GH","MTN","2014_Q4",6.289505959
"GH","MTN","2015_Q1",5.839927585
"GH","MTN","2015_Q2",5.005005005
"GH","MTN","2015_Q3",5.204809244
"GH","MTN","2015_Q4",5.283597073
"GH","MTN","2016_Q1",5.141639309
"GH","MTN","2016_Q2",5.212935378
"GH","MTN","2016_Q3",5.077057033
"GH","MTN","2016_Q4",4.915466269
"GH","MTN","2017_Q1",4.544421722
"GH","MTN","2017_Q2",4.683840749
"GH","MTN","2017_Q3",4.555808656
"GH","MTN","2017_Q4",4.489337823
"GH","Expresso (Sudatel)","2014_Q2",4.701000686
"GH","Expresso (Sudatel)","2016_Q1",3.856229482
"GH","Vodafone","2014_Q2",9.402001373
"GH","Vodafone","2014_Q3",8.57363322
"GH","Vodafone","2014_Q4",9.434258939
"GH","Vodafone","2015_Q1",8.759891377
"GH","Vodafone","2015_Q2",5.005005005
"GH","Vodafone","2015_Q3",5.204809244
"GH","Vodafone","2015_Q4",5.283597073
"GH","Vodafone","2016_Q1",7.712458963
"GH","Vodafone","2016_Q2",6.490104545
"GH","Vodafone","2016_Q3",7.61558555
"GH","Vodafone","2016_Q4",3.929915282
"GH","Vodafone","2017_Q1",3.633265167
"GH","Vodafone","2017_Q2",3.744730679
"GH","Vodafone","2017_Q3",3.642369021
"GH","Vodafone","2017_Q4",3.589225589
"GH","Airtel (Bharti Airtel)","2014_Q2",7.835001144
"GH","Airtel (Bharti Airtel)","2014_Q3",7.14469435
"GH","Airtel (Bharti Airtel)","2014_Q4",7.861882449
"GH","Airtel (Bharti Airtel)","2015_Q1",7.299909481
"GH","Airtel (Bharti Airtel)","2015_Q2",6.256256256
"GH","Airtel (Bharti Airtel)","2015_Q3",7.807213866
"GH","Airtel (Bharti Airtel)","2015_Q4",7.925395609
"GH","Airtel (Bharti Airtel)","2016_Q1",7.712458963
"GH","Airtel (Bharti Airtel)","2016_Q2",7.819403067
"GH","Airtel (Bharti Airtel)","2016_Q3",7.61558555
"GH","Airtel (Bharti Airtel)","2016_Q4",6.144332836
"GH","Airtel (Bharti Airtel)","2017_Q1",5.680527153
"GH","Airtel (Bharti Airtel)","2017_Q2",5.854800937
"GH","Airtel (Bharti Airtel)","2017_Q3",5.69476082
"GH","Airtel (Bharti Airtel)","2017_Q4",5.611672278
"GH","Glo Mobile (Globacom)","2014_Q2",4.701000686
"GH","Glo Mobile (Globacom)","2014_Q3",4.28681661
"GH","Glo Mobile (Globacom)","2014_Q4",4.717129469
"GH","Glo Mobile (Globacom)","2015_Q1",4.379945689
