"cc3","cc","domain","rtt"
"ZAF","ZA","www.pe-express.co.za",24
"ZAF","ZA","www.dieburger.com",27
"TUN","TN","www.essahafa.info.tn",1
"ZAF","ZA","www.sportelizabeth.co.za",6
"ZAF","ZA","www.peoplespost.co.za",42
"ZAF","ZA","www.pmbfever.co.za",19
"TUN","TN","www.gnet.tn",50
"ZAF","ZA","www.volksblad.com",12
"ZAF","ZA","www.hermanustimes.co.za",3
"MOZ","MZ","www.tvm.co.mz",2
"ZAF","ZA","www.sunshinecoastexpress.co.za",19
"ZAF","ZA","www.pmbfever.co.za",29
"ZAF","ZA","www.netwerk24.com",11
"ZAF","ZA","www.districtmail.com",30
"ZAF","ZA","www.weslander.co.za",24
"ZAF","ZA","www.ilanganews.co.za",22
"ZAF","ZA","www.sport24.co.za",20
"ZAF","ZA","www.702.co.za",362
"ZAF","ZA","www.beeld.com",38
"ZAF","ZA","www.sunshinecoastexpress.co.za",19
"ZAF","ZA","www.politicsweb.co.za",28
"ZAF","ZA","www.netwerk24.com",20
"TUN","TN","www.lapresse.tn",14
"ZAF","ZA","www.witness.co.za",30
"ZAF","ZA","www.sportelizabeth.co.za",26
"MAR","MA","www.leseco.ma",143
"ZAF","ZA","www.supersport.com",21
"ZAF","ZA","mthathaexpress.co.za",1
"ZAF","ZA","www.polity.org.za",25
"GHA","GH","www.ghana.gov.gh",366
"ZAF","ZA","www.eastlondonexpress.co.za",2
"ZAF","ZA","isoexpress.co.za",42
"ZAF","ZA","www.zoutnet.co.za",1
"ZAF","ZA","www.capetalk.co.za",66
"ZAF","ZA","www.theannouncer.co.za",39
"ZAF","ZA","www.potchefstroomherald.co.za",28
"ZAF","ZA","www.eastlondonexpress.co.za",24
"ZAF","ZA","www.news24.com",18
"ZAF","ZA","www.jbaynews.com",22
"ZAF","ZA","www.capetalk.co.za",46
"ZAF","ZA","www.thebugle.co.za",3
"ZAF","ZA","www.gbn.co.za",3
"ZAF","ZA","www.potchefstroomherald.co.za",32
"ZAF","ZA","sedibengster.com",34
"RWA","RW","www.rba.co.rw",11
"ZAF","ZA","www.newspapers.co.za",5
"BWA","BW","www.echo.co.bw",7
"ZAF","ZA","www.kbn.co.za",21
"ZAF","ZA","www.carletonvilleherald.com",26
"ZAF","ZA","www.georgeherald.com",27
"ZAF","ZA","www.rapport.co.za",19
"MAR","MA","albayane.press.ma",123
"ZAF","ZA","www.edenexpress.co.za",48
"ZAF","ZA","www.newspapers.co.za",5
"ZAF","ZA","www.cbn.co.za",1
"ZAF","ZA","www.greytown.co.za",21
"DZA","DZ","www.entv.dz",350
"ZAF","ZA","citizen.co.za",23
"ZAF","ZA","www.noseweek.co.za",24
"ZAF","ZA","www.citypress.co.za",23
"ZAF","ZA","www.tygerburger.co.za",24
"ZAF","ZA","www.grocotts.co.za",3
"ZAF","ZA","www.observer.co.za",20
"ZAF","ZA","www.citypress.co.za",18
"ZAF","ZA","www.ud-news.co.za",19
"ZAF","ZA","www.grocotts.co.za",26
"ZAF","ZA","www.eikestadnuus.co.za",27
"MOZ","MZ","www.jornalnoticias.co.mz",5
"ZAF","ZA","landbou.com",25
"ZAF","ZA","www.paarlpost.co.za",27
"ZAF","ZA","polokwaneexpress.co.za",19
"ETH","ET","www.ena.gov.et",3
"ZAF","ZA","www.cxpress.co.za",21
"ZAF","ZA","www.sake24.com",19
"CMR","CM","crtv.cm",130
"ZAF","ZA","landbou.com",58
"ZAF","ZA","www.paarlpost.co.za",30
"ZAF","ZA","www.kwevoel.co.za",20
"TGO","TG","www.editogo.tg",2
"ZAF","ZA","www.vaalweekblad.com",52
"ZAF","ZA","www.southafrica.info",22
"MOZ","MZ","www.rm.co.mz",67
"AGO","AO","www.portalangop.co.ao",2
"ZAF","ZA","ewn.co.za",27
"ZAF","ZA","www.pe-express.co.za",19
"ZAF","ZA","www.kwevoel.co.za",2
"ZAF","ZA","www.dieburger.com",5
"TUN","TN","www.essahafa.info.tn",28
"ZAF","ZA","www.vaalweekblad.com",33
"ZAF","ZA","www.peoplespost.co.za",3
"ZAF","ZA","www.dieburger.com",86
"TUN","TN","www.gnet.tn",1
"ZAF","ZA","www.sportelizabeth.co.za",4
"ZAF","ZA","www.peoplespost.co.za",31
"TUN","TN","www.gnet.tn",1
"ZAF","ZA","www.volksblad.com",11
"ZAF","ZA","www.hermanustimes.co.za",19
"ZAF","ZA","www.pmbfever.co.za",3
"ZAF","ZA","www.netwerk24.com",1
"ZAF","ZA","www.districtmail.com",24
"ZAF","ZA","www.weslander.co.za",38
"ZAF","ZA","www.ilanganews.co.za",20
"ZAF","ZA","www.sport24.co.za",10
"ZAF","ZA","www.702.co.za",33
"ZAF","ZA","www.beeld.com",23
"ZAF","ZA","www.sunshinecoastexpress.co.za",2
"ZAF","ZA","www.politicsweb.co.za",18
"ZAF","ZA","www.netwerk24.com",11
"TUN","TN","www.lapresse.tn",1
"ZAF","ZA","www.witness.co.za",11
"ZAF","ZA","www.sportelizabeth.co.za",26
"MAR","MA","www.leseco.ma",143
"ZAF","ZA","www.supersport.com",24
"ZAF","ZA","www.polity.org.za",44
"GHA","GH","www.ghana.gov.gh",368
"MWI","MW","www.manaonline.gov.mw",36
"ZAF","ZA","isoexpress.co.za",19
"ZAF","ZA","www.zoutnet.co.za",30
"ZAF","ZA","www.capetalk.co.za",40
"BDI","BI","www.netpress.bi",120
"ZAF","ZA","www.theannouncer.co.za",43
"ZAF","ZA","www.polity.org.za",106
"ZAF","ZA","www.eastlondonexpress.co.za",19
"ZAF","ZA","www.news24.com",32
"ZAF","ZA","www.capetalk.co.za",46
"ZAF","ZA","www.thebugle.co.za",42
"ZAF","ZA","www.gbn.co.za",37
"ZAF","ZA","www.potchefstroomherald.co.za",4
"ZAF","ZA","sedibengster.com",3
"ZAF","ZA","www.newspapers.co.za",18
"KEN","KE","www.kbc.co.ke",9
"BWA","BW","www.dailynews.gov.bw",9
"ZAF","ZA","www.kbn.co.za",5
"ZAF","ZA","www.carletonvilleherald.com",31
"ZAF","ZA","www.georgeherald.com",57
"ZAF","ZA","www.rapport.co.za",20
"MAR","MA","albayane.press.ma",149
"ZAF","ZA","www.edenexpress.co.za",28
"SYC","SC","www.sbc.sc",5
"ZAF","ZA","www.newspapers.co.za",25
"ZAF","ZA","www.cbn.co.za",27
"ZAF","ZA","www.greytown.co.za",33
"MAR","MA","bayanealyaoume.press.ma",155
"ZAF","ZA","www.edenexpress.co.za",3
"DZA","DZ","www.entv.dz",61
"ZAF","ZA","citizen.co.za",20
"ZAF","ZA","www.noseweek.co.za",24
"BWA","BW","www.sundaystandard.info",5
"ZAF","ZA","www.citypress.co.za",43
"MDG","MG","www.lagazette-dgi.com",1
"ZAF","ZA","www.tygerburger.co.za",28
"ZAF","ZA","www.greytown.co.za",36
"ZAF","ZA","citizen.co.za",15
"ZAF","ZA","www.observer.co.za",44
"ZAF","ZA","www.citypress.co.za",29
"ZAF","ZA","www.ud-news.co.za",42
"ZAF","ZA","www.grocotts.co.za",3
"ZAF","ZA","www.eikestadnuus.co.za",35
"MOZ","MZ","www.jornalnoticias.co.mz",1
"ZAF","ZA","landbou.com",20
"ZAF","ZA","www.observer.co.za",33
"ZAF","ZA","polokwaneexpress.co.za",20
"ZAF","ZA","www.kougaexpress.co.za",44
"ETH","ET","www.ena.gov.et",4
"ZAF","ZA","www.cxpress.co.za",49
"ZAF","ZA","www.sake24.com",19
"CMR","CM","crtv.cm",13
"ZAF","ZA","landbou.com",4
"ZAF","ZA","www.paarlpost.co.za",7
"ZAF","ZA","www.kwevoel.co.za",3
"TGO","TG","www.editogo.tg",32
"ZAF","ZA","www.southafrica.info",28
"MOZ","MZ","www.rm.co.mz",47
"AGO","AO","www.portalangop.co.ao",2
"ZAF","ZA","ewn.co.za",47
"ZAF","ZA","www.pe-express.co.za",29
"ZAF","ZA","www.kwevoel.co.za",43
"ZAF","ZA","www.dieburger.com",5
"TUN","TN","www.essahafa.info.tn",25
"ZAF","ZA","www.vaalweekblad.com",2
"ZAF","ZA","www.peoplespost.co.za",19
"ZAF","ZA","www.dieburger.com",18
"TUN","TN","www.gnet.tn",30
"ZAF","ZA","www.sportelizabeth.co.za",41
"ZAF","ZA","www.peoplespost.co.za",3
"TUN","TN","www.gnet.tn",28
"ZMB","ZM","www.talk90point5.co.zm",7
"ZAF","ZA","www.volksblad.com",2
"ZAF","ZA","www.hermanustimes.co.za",1
"ZAF","ZA","www.pmbfever.co.za",1
"ZAF","ZA","www.districtmail.com",20
"ZAF","ZA","www.weslander.co.za",44
"ZAF","ZA","www.ilanganews.co.za",4
"ZAF","ZA","www.sport24.co.za",19
"ZAF","ZA","www.702.co.za",47
"ZAF","ZA","www.beeld.com",39
"ZAF","ZA","www.sunshinecoastexpress.co.za",24
"ZAF","ZA","www.politicsweb.co.za",21
"ZAF","ZA","www.netwerk24.com",24
"TUN","TN","www.lapresse.tn",28
"ZAF","ZA","www.witness.co.za",24
"ZAF","ZA","www.ilanganews.co.za",26
"ZAF","ZA","www.sportelizabeth.co.za",41
"MAR","MA","www.leseco.ma",160
"ZAF","ZA","www.supersport.com",27
"ZAF","ZA","www.polity.org.za",25
"MWI","MW","www.manaonline.gov.mw",20
"ZAF","ZA","isoexpress.co.za",24
"ZAF","ZA","www.zoutnet.co.za",35
"BDI","BI","www.netpress.bi",35
"ZAF","ZA","www.theannouncer.co.za",14
"ZAF","ZA","mthathaexpress.co.za",23
"ZAF","ZA","www.polity.org.za",20
"ZAF","ZA","www.eastlondonexpress.co.za",2
"ZAF","ZA","isoexpress.co.za",5
"ZAF","ZA","www.zoutnet.co.za",16
"ZAF","ZA","www.news24.com",17
"ZAF","ZA","www.capetalk.co.za",58
"ZAF","ZA","www.thebugle.co.za",24
"ZAF","ZA","www.gbn.co.za",40
"ZAF","ZA","www.potchefstroomherald.co.za",43
"ZAF","ZA","sedibengster.com",52
"ZAF","ZA","www.news24.com",3
"BWA","BW","www.dailynews.gov.bw",7
"ZAF","ZA","www.kbn.co.za",40
"ZAF","ZA","www.carletonvilleherald.com",28
"ZAF","ZA","www.georgeherald.com",2
"ZAF","ZA","www.rapport.co.za",24
"LSO","LS","www.lena.gov.ls",54
"ZAF","ZA","www.edenexpress.co.za",17
"SYC","SC","www.sbc.sc",10
"ZAF","ZA","www.newspapers.co.za",4
"ZAF","ZA","www.kbn.co.za",7
"ZAF","ZA","www.cbn.co.za",3
"ZAF","ZA","www.greytown.co.za",2
"MAR","MA","bayanealyaoume.press.ma",156
"ZAF","ZA","www.edenexpress.co.za",1
"ZAF","ZA","citizen.co.za",13
"ZAF","ZA","www.noseweek.co.za",4
"BWA","BW","www.sundaystandard.info",5
"ZAF","ZA","www.cbn.co.za",26
"MDG","MG","www.lagazette-dgi.com",2
"ZAF","ZA","www.tygerburger.co.za",2
"ZAF","ZA","www.greytown.co.za",32
"ZAF","ZA","citizen.co.za",17
"ZAF","ZA","www.observer.co.za",29
"ZAF","ZA","www.citypress.co.za",5
"ZAF","ZA","www.tygerburger.co.za",11
"ZAF","ZA","www.grocotts.co.za",19
"ZAF","ZA","www.eikestadnuus.co.za",3
"MOZ","MZ","www.jornalnoticias.co.mz",3
"ZAF","ZA","www.observer.co.za",21
"ZAF","ZA","polokwaneexpress.co.za",24
"ZAF","ZA","www.kougaexpress.co.za",1
"ZAF","ZA","www.cxpress.co.za",4
"ZAF","ZA","www.ud-news.co.za",20
"ZAF","ZA","www.sake24.com",3
"ZAF","ZA","landbou.com",38
"ZAF","ZA","www.paarlpost.co.za",24
"ZAF","ZA","www.kougaexpress.co.za",39
"TGO","TG","www.editogo.tg",2
"ZAF","ZA","www.southafrica.info",32
"MOZ","MZ","www.rm.co.mz",9
"CMR","CM","crtv.cm",132
"ZAF","ZA","ewn.co.za",44
"ZAF","ZA","www.pe-express.co.za",22
"ZAF","ZA","www.kwevoel.co.za",36
"ZAF","ZA","www.dieburger.com",19
"TUN","TN","www.essahafa.info.tn",29
"ZAF","ZA","www.vaalweekblad.com",21
"ZAF","ZA","www.southafrica.info",30
"ZAF","ZA","www.peoplespost.co.za",3
"ZAF","ZA","www.dieburger.com",2
"TUN","TN","www.essahafa.info.tn",28
"ZAF","ZA","www.peoplespost.co.za",23
"TUN","TN","www.gnet.tn",26
"ZMB","ZM","www.talk90point5.co.zm",6
"ZAF","ZA","www.volksblad.com",11
"ZAF","ZA","www.hermanustimes.co.za",30
"ZAF","ZA","www.pmbfever.co.za",30
"MWI","MW","www.capitalradiomalawi.com",65
"DZA","DZ","www.carrefourdalgerie.com",40
"ZAF","ZA","www.weslander.co.za",19
"ZAF","ZA","www.hermanustimes.co.za",5
"ZAF","ZA","www.sport24.co.za",24
"ZAF","ZA","www.702.co.za",57
"ZAF","ZA","www.beeld.com",1
"ZAF","ZA","www.sunshinecoastexpress.co.za",41
"ZAF","ZA","www.politicsweb.co.za",3
"ZAF","ZA","www.netwerk24.com",19
"ZAF","ZA","www.districtmail.com",58
"TUN","TN","www.lapresse.tn",25
"ZAF","ZA","www.witness.co.za",5
"ZAF","ZA","www.ilanganews.co.za",32
"ZAF","ZA","www.sport24.co.za",70
"ZAF","ZA","www.702.co.za",42
"ZAF","ZA","www.supersport.com",18
"ZAF","ZA","mthathaexpress.co.za",31
"ZAF","ZA","www.polity.org.za",10
"MWI","MW","www.manaonline.gov.mw",120
"ZAF","ZA","isoexpress.co.za",31
"ZAF","ZA","www.zoutnet.co.za",13
"ZAF","ZA","www.theannouncer.co.za",26
"ZAF","ZA","mthathaexpress.co.za",13
"ZAF","ZA","www.polity.org.za",12
"ZAF","ZA","www.eastlondonexpress.co.za",21
"ZAF","ZA","isoexpress.co.za",3
"ZAF","ZA","www.zoutnet.co.za",37
"ZAF","ZA","www.news24.com",17
"ZAF","ZA","www.jbaynews.com",4
"ZAF","ZA","www.capetalk.co.za",39
"ZAF","ZA","www.thebugle.co.za",3
"ZAF","ZA","www.gbn.co.za",14
"ZAF","ZA","www.potchefstroomherald.co.za",21
"ZAF","ZA","sedibengster.com",43
"ZAF","ZA","www.news24.com",24
"BWA","BW","www.dailynews.gov.bw",5
"ZAF","ZA","www.kbn.co.za",37
"ZAF","ZA","www.carletonvilleherald.com",64
"ZAF","ZA","www.georgeherald.com",22
"ZAF","ZA","www.rapport.co.za",28
"NAM","NA","www.nampa.org",175
"ZAF","ZA","www.newspapers.co.za",44
"ZAF","ZA","www.kbn.co.za",2
"ZAF","ZA","www.cbn.co.za",42
"ZAF","ZA","www.georgeherald.com",21
"MAR","MA","bayanealyaoume.press.ma",161
"ZAF","ZA","www.edenexpress.co.za",4
"ZAF","ZA","www.noseweek.co.za",17
"BWA","BW","www.radiobotswana.gov.bw",6
"ZAF","ZA","www.cbn.co.za",42
"MDG","MG","www.lagazette-dgi.com",2
"ZAF","ZA","www.greytown.co.za",160
"ZAF","ZA","citizen.co.za",19
"ZAF","ZA","www.noseweek.co.za",47
"ZAF","ZA","www.citypress.co.za",24
"ZAF","ZA","www.tygerburger.co.za",24
"ZAF","ZA","www.grocotts.co.za",40
"ZAF","ZA","www.eikestadnuus.co.za",49
"MOZ","MZ","www.jornalnoticias.co.mz",5
"ZAF","ZA","www.observer.co.za",1
"ZAF","ZA","polokwaneexpress.co.za",19
"ZAF","ZA","www.kougaexpress.co.za",29
"ZAF","ZA","www.cxpress.co.za",27
"ZAF","ZA","www.ud-news.co.za",27
"ZAF","ZA","www.sake24.com",29
"ZAF","ZA","www.eikestadnuus.co.za",91
"ZAF","ZA","landbou.com",25
"ZAF","ZA","www.paarlpost.co.za",23
"ZAF","ZA","polokwaneexpress.co.za",19
"ZAF","ZA","www.kougaexpress.co.za",42
"TGO","TG","www.editogo.tg",1
"ZAF","ZA","www.southafrica.info",40
"MOZ","MZ","www.rm.co.mz",18
"CMR","CM","crtv.cm",12
"ZAF","ZA","ewn.co.za",31
"ZAF","ZA","www.pe-express.co.za",32
"ZAF","ZA","www.kwevoel.co.za",31
"TUN","TN","www.essahafa.info.tn",25
"ZAF","ZA","www.vaalweekblad.com",23
"ZAF","ZA","www.southafrica.info",22
"ZAF","ZA","ewn.co.za",27
"ZAF","ZA","www.pe-express.co.za",22
"ZAF","ZA","www.dieburger.com",10
"TUN","TN","www.essahafa.info.tn",16
"ZAF","ZA","www.sportelizabeth.co.za",56
"TUN","TN","www.gnet.tn",91
"ZAF","ZA","www.volksblad.com",1
"ZAF","ZA","www.hermanustimes.co.za",52
"GMB","GM","www.grts.gm",4
"ZAF","ZA","www.pmbfever.co.za",45
"MWI","MW","www.capitalradiomalawi.com",86
"ZAF","ZA","www.weslander.co.za",68
"ZAF","ZA","www.hermanustimes.co.za",21
"ZAF","ZA","www.sport24.co.za",5
"ZAF","ZA","www.702.co.za",202
"ZAF","ZA","www.beeld.com",38
"ZAF","ZA","www.sunshinecoastexpress.co.za",21
"ZAF","ZA","www.politicsweb.co.za",32
"ZAF","ZA","www.netwerk24.com",5
"ZAF","ZA","www.districtmail.com",23
"TUN","TN","www.lapresse.tn",16
"ZAF","ZA","www.witness.co.za",42
"ZAF","ZA","www.ilanganews.co.za",5
"ZAF","ZA","www.sport24.co.za",5
"ZAF","ZA","www.702.co.za",70
"ZAF","ZA","www.beeld.com",44
"ZAF","ZA","www.supersport.com",24
"ZAF","ZA","www.politicsweb.co.za",27
"TUN","TN","www.lapresse.tn",28
"ZAF","ZA","www.zoutnet.co.za",3
"SWZ","SZ","www.times.co.sz",76
"ZAF","ZA","www.theannouncer.co.za",9
"ZAF","ZA","mthathaexpress.co.za",24
"ZAF","ZA","www.polity.org.za",16
"ZAF","ZA","www.eastlondonexpress.co.za",24
"ZAF","ZA","isoexpress.co.za",5
"ZAF","ZA","www.zoutnet.co.za",36
"ZAF","ZA","www.jbaynews.com",23
"ZAF","ZA","www.capetalk.co.za",355
"ZAF","ZA","www.thebugle.co.za",2
"ZAF","ZA","www.gbn.co.za",28
"ZAF","ZA","www.potchefstroomherald.co.za",52
"ZAF","ZA","sedibengster.com",17
"ZAF","ZA","www.news24.com",3
"ZAF","ZA","www.jbaynews.com",70
"ZAF","ZA","www.carletonvilleherald.com",30
"ZAF","ZA","www.thebugle.co.za",18
"ZAF","ZA","www.gbn.co.za",2
"ZAF","ZA","www.rapport.co.za",28
"ZAF","ZA","sedibengster.com",4
"NAM","NA","www.nampa.org",3
"ZAF","ZA","www.newspapers.co.za",16
"ZAF","ZA","www.kbn.co.za",17
"ZAF","ZA","www.carletonvilleherald.com",31
"ZAF","ZA","www.georgeherald.com",4
"ZAF","ZA","www.rapport.co.za",22
"MAR","MA","bayanealyaoume.press.ma",123
"ZAF","ZA","www.edenexpress.co.za",9
"DZA","DZ","www.elwassat.com",439
"ZAF","ZA","www.noseweek.co.za",20
"BWA","BW","www.radiobotswana.gov.bw",4
"ZAF","ZA","www.cbn.co.za",43
"MDG","MG","www.lagazette-dgi.com",2
"ZAF","ZA","www.greytown.co.za",31
"ZAF","ZA","citizen.co.za",26
"ZAF","ZA","www.noseweek.co.za",42
"ZAF","ZA","www.citypress.co.za",18
"ZAF","ZA","www.tygerburger.co.za",18
"ZAF","ZA","www.grocotts.co.za",9
"ZAF","ZA","www.eikestadnuus.co.za",2
"MOZ","MZ","www.jornalnoticias.co.mz",1
"ZMB","ZM","www.daily-mail.co.zm",6
"ZAF","ZA","www.observer.co.za",43
"ZAF","ZA","polokwaneexpress.co.za",30
"ZAF","ZA","www.cxpress.co.za",24
"ZAF","ZA","www.ud-news.co.za",4
"ZAF","ZA","www.sake24.com",24
"ZAF","ZA","www.eikestadnuus.co.za",18
"ZAF","ZA","landbou.com",24
"ZAF","ZA","www.paarlpost.co.za",23
"ZAF","ZA","polokwaneexpress.co.za",35
"ZAF","ZA","www.kougaexpress.co.za",19
"ZAF","ZA","www.cxpress.co.za",324
"TGO","TG","www.editogo.tg",2
"ZAF","ZA","www.sake24.com",23
"CMR","CM","crtv.cm",131
"ZAF","ZA","ewn.co.za",219
"ZAF","ZA","www.pe-express.co.za",19
"ZAF","ZA","www.kwevoel.co.za",13
"ZAF","ZA","www.vaalweekblad.com",24
"ZAF","ZA","www.southafrica.info",14
"MOZ","MZ","www.rm.co.mz",27
"ZAF","ZA","ewn.co.za",50
"ZAF","ZA","www.pe-express.co.za",3
"ZAF","ZA","www.dieburger.com",43
"TUN","TN","www.essahafa.info.tn",4
"ZAF","ZA","www.sportelizabeth.co.za",11
"ZAF","ZA","www.peoplespost.co.za",3
"TUN","TN","www.gnet.tn",147
"ZAF","ZA","www.volksblad.com",22
"ZAF","ZA","www.hermanustimes.co.za",10
"GMB","GM","www.grts.gm",2
"ZAF","ZA","www.pmbfever.co.za",43
"MWI","MW","www.capitalradiomalawi.com",7
"TUN","TN","www.gnet.tn",1
"ZAF","ZA","www.weslander.co.za",2
"ZAF","ZA","www.hermanustimes.co.za",24
"ZAF","ZA","www.beeld.com",32
"ZAF","ZA","www.sunshinecoastexpress.co.za",23
"ZAF","ZA","www.politicsweb.co.za",20
"ZAF","ZA","www.netwerk24.com",37
"ZAF","ZA","www.districtmail.com",2
"TUN","TN","www.lapresse.tn",4
"ZAF","ZA","www.weslander.co.za",19
"ZAF","ZA","www.ilanganews.co.za",14
"ZAF","ZA","www.sport24.co.za",30
"ZAF","ZA","www.702.co.za",35
"ZAF","ZA","www.beeld.com",3
"ZAF","ZA","www.supersport.com",4
"ZAF","ZA","www.politicsweb.co.za",3
"TUN","TN","www.lapresse.tn",15
"ZAF","ZA","www.witness.co.za",23
"ZAF","ZA","www.sportelizabeth.co.za",6
"SWZ","SZ","www.observer.org.sz",56
"ZAF","ZA","www.supersport.com",42
"ZAF","ZA","mthathaexpress.co.za",3
"ZAF","ZA","www.polity.org.za",1
"ZAF","ZA","www.eastlondonexpress.co.za",44
"ZAF","ZA","isoexpress.co.za",29
"ZAF","ZA","www.zoutnet.co.za",22
"ZAF","ZA","www.jbaynews.com",22
"ZAF","ZA","www.capetalk.co.za",22
"ZAF","ZA","www.theannouncer.co.za",3
"ZAF","ZA","www.gbn.co.za",44
"ZAF","ZA","www.potchefstroomherald.co.za",42
"ZAF","ZA","sedibengster.com",24
"ZAF","ZA","www.news24.com",24
"KEN","KE","www.kbc.co.ke",4
"ZAF","ZA","www.jbaynews.com",33
"ZAF","ZA","www.carletonvilleherald.com",26
"ZAF","ZA","www.thebugle.co.za",3
"ZAF","ZA","www.gbn.co.za",21
"ZAF","ZA","www.potchefstroomherald.co.za",5
"ZAF","ZA","sedibengster.com",40
"NAM","NA","www.namibtimes.net",1
"ZAF","ZA","www.newspapers.co.za",18
"BWA","BW","www.echo.co.bw",7
"ZAF","ZA","www.kbn.co.za",40
"ZAF","ZA","www.carletonvilleherald.com",30
"ZAF","ZA","www.georgeherald.com",32
"ZAF","ZA","www.rapport.co.za",3
"MAR","MA","albayane.press.ma",161
"ZAF","ZA","www.edenexpress.co.za",18
"DZA","DZ","www.elwassat.com",60
"ZAF","ZA","www.noseweek.co.za",17
"BWA","BW","www.radiobotswana.gov.bw",4
"ZAF","ZA","www.cbn.co.za",1
"ZAF","ZA","www.greytown.co.za",18
"ZAF","ZA","citizen.co.za",36
"ZAF","ZA","www.noseweek.co.za",31
"ZAF","ZA","www.citypress.co.za",5
"ZAF","ZA","www.tygerburger.co.za",29
"ZAF","ZA","www.grocotts.co.za",6
"ZAF","ZA","www.eikestadnuus.co.za",1
"ZMB","ZM","www.daily-mail.co.zm",8
"ZAF","ZA","www.observer.co.za",2
"ZAF","ZA","polokwaneexpress.co.za",18
"ZAF","ZA","www.cxpress.co.za",44
"ZAF","ZA","www.ud-news.co.za",6
"ZAF","ZA","www.grocotts.co.za",4
"ZAF","ZA","www.sake24.com",42
"ZAF","ZA","www.eikestadnuus.co.za",24
"MOZ","MZ","www.jornalnoticias.co.mz",4
"ZAF","ZA","landbou.com",30
"ZAF","ZA","www.paarlpost.co.za",2
"ZAF","ZA","polokwaneexpress.co.za",35
"ZAF","ZA","www.kougaexpress.co.za",3
"ZAF","ZA","www.cxpress.co.za",3
"TGO","TG","www.editogo.tg",777
"ZAF","ZA","www.sake24.com",42
"CMR","CM","crtv.cm",13
"ZAF","ZA","www.paarlpost.co.za",23
"ZAF","ZA","www.kwevoel.co.za",45
"ZAF","ZA","www.vaalweekblad.com",21
"ZAF","ZA","www.southafrica.info",24
"MOZ","MZ","www.rm.co.mz",366
"ZAF","ZA","ewn.co.za",60
"ZAF","ZA","www.pe-express.co.za",42
"ZAF","ZA","www.dieburger.com",1
"TUN","TN","www.essahafa.info.tn",15
"ZAF","ZA","www.sportelizabeth.co.za",6
"ZAF","ZA","www.peoplespost.co.za",30
"ZAF","ZA","www.pmbfever.co.za",27
"TUN","TN","www.gnet.tn",28
"ZAF","ZA","www.volksblad.com",20
"ZAF","ZA","www.hermanustimes.co.za",24
"ZAF","ZA","www.beeld.com",28
"ZAF","ZA","www.sunshinecoastexpress.co.za",24
"ZAF","ZA","www.pmbfever.co.za",18
"ZAF","ZA","www.netwerk24.com",46
"ZAF","ZA","www.districtmail.com",11
"ZAF","ZA","www.weslander.co.za",3
"ZAF","ZA","www.ilanganews.co.za",17
"ZAF","ZA","www.sport24.co.za",32
"ZAF","ZA","www.702.co.za",5
"ZAF","ZA","www.beeld.com",19
"ZAF","ZA","www.sunshinecoastexpress.co.za",11
"ZAF","ZA","www.politicsweb.co.za",17
"ZAF","ZA","www.netwerk24.com",22
"TUN","TN","www.lapresse.tn",4
"ZAF","ZA","www.witness.co.za",31
"ZAF","ZA","www.sportelizabeth.co.za",22
"MAR","MA","www.leseco.ma",159
"ZAF","ZA","www.supersport.com",1
"ZAF","ZA","mthathaexpress.co.za",4
"ZAF","ZA","www.polity.org.za",27
"GHA","GH","www.ghana.gov.gh",195
"ZAF","ZA","www.eastlondonexpress.co.za",11
"ZAF","ZA","isoexpress.co.za",38
"ZAF","ZA","www.zoutnet.co.za",20
"ZAF","ZA","www.capetalk.co.za",27
"ZAF","ZA","www.theannouncer.co.za",23
"ZAF","ZA","www.potchefstroomherald.co.za",40
"ZAF","ZA","sedibengster.com",19
"ZAF","ZA","www.eastlondonexpress.co.za",21
"ZAF","ZA","www.news24.com",49
"ZAF","ZA","www.jbaynews.com",32
"ZAF","ZA","www.capetalk.co.za",78
"ZAF","ZA","www.thebugle.co.za",42
"ZAF","ZA","www.gbn.co.za",34
"ZAF","ZA","www.potchefstroomherald.co.za",29
"ZAF","ZA","sedibengster.com",3
"RWA","RW","www.rba.co.rw",9
"NAM","NA","www.namibtimes.net",1
"ZAF","ZA","www.newspapers.co.za",21
"BWA","BW","www.echo.co.bw",8
"ZAF","ZA","www.kbn.co.za",38
"ZAF","ZA","www.carletonvilleherald.com",5
"ZAF","ZA","www.georgeherald.com",22
"ZAF","ZA","www.rapport.co.za",5
"MAR","MA","albayane.press.ma",149
"ZAF","ZA","www.edenexpress.co.za",3
"ZAF","ZA","www.newspapers.co.za",18
"ZAF","ZA","www.cbn.co.za",28
"ZAF","ZA","www.greytown.co.za",4
"ZAF","ZA","citizen.co.za",52
"ZAF","ZA","www.noseweek.co.za",10
"ZAF","ZA","www.citypress.co.za",24
"ZAF","ZA","www.tygerburger.co.za",30
"ZAF","ZA","www.grocotts.co.za",17
"ZMB","ZM","www.daily-mail.co.zm",2
"ZAF","ZA","www.observer.co.za",6
"ZAF","ZA","www.citypress.co.za",32
"ZAF","ZA","www.ud-news.co.za",28
"ZAF","ZA","www.grocotts.co.za",45
"ZAF","ZA","www.eikestadnuus.co.za",25
"MOZ","MZ","www.jornalnoticias.co.mz",1
"ZAF","ZA","landbou.com",2
"ZAF","ZA","www.paarlpost.co.za",17
"ZAF","ZA","polokwaneexpress.co.za",21
"ETH","ET","www.ena.gov.et",123
